,country,article_name,article_quality_est.,population
0,Chad,Bir I of Kanem,Stub,16877000.0
1,Palestinian Territory,Information Minister of the Palestinian National Authority,Stub,5008000.0
2,Cambodia,Yos Por,Stub,15497000.0
5,Canada,Robert Douglas Cook,Stub,38190000.0
6,Egypt,List of Grand Viziers of Egypt,Stub,100803000.0
7,Pakistan,Sehba Musharraf,Stub,220940000.0
8,United States,Butler-Belmont family,Start,329878000.0
9,Canada,List of Canadian incumbents by year,Stub,38190000.0
10,India,Sheikh Sadiq Ali Ansari,Stub,1400100000.0
11,Philippines,Cayetano Pacana,Stub,109581000.0
12,Chad,Abdullah II of Kanem,Stub,16877000.0
13,United States,Heard-Hawes family,C,329878000.0
15,Germany,List of German politicians,Stub,83300000.0
16,Malawi,Raspicious Dzanjalimodzi,Stub,19130000.0
17,Nicaragua,Manuel Antonio Blas Sáenz,Stub,6596000.0
18,Hungary,Béla Vörösmarty,Stub,9767000.0
19,French Guiana,Presidents of the General Council of French Guiana,Start,294000.0
20,Norway,Finn Sjue,Stub,5387000.0
22,United States,Russell family (American political family),Stub,329878000.0
23,Philippines,Maximo Suniel,Stub,109581000.0
24,Hungary,Mihály Mikes (soldier),Stub,9767000.0
25,Iran,The Man with the Chocolate Robe,Stub,84150000.0
26,Malta,List of Malta Labour Party leaders,Stub,522000.0
27,Spain,Marquis of Amboage,Stub,47635000.0
28,Chad,Salmama II of Kanem,Stub,16877000.0
29,Chad,Kuri I of Kanem,Stub,16877000.0
30,Chad,Mohammed I of Kanem,Stub,16877000.0
32,Malta,"List of members of the parliament of Malta, 2008–13",B,522000.0
34,Ghana,Samuel Nii Ayi Mankattah,Stub,31073000.0
35,Tanzania,Hemed Khamis,Stub,59734000.0
37,Togo,Council of Ministers of Togo,Start,8279000.0
38,Palestinian Territory,Finance Minister of the Palestinian National Authority,Start,5008000.0
39,United Arab Emirates,Abdullah Al Nuaimi (politician),Start,9778000.0
40,China,Zhang Zhenzhou,Stub,1402385000.0
41,China,Feng Liao,Start,1402385000.0
42,China,Wu Shihuo,Start,1402385000.0
43,Kenya,Kennedy Kiliku,Stub,53528000.0
